PREFERENCE,PROPERTY_TYPE,CITY,LOCALITY,TRANSACT_TYPE,OWNTYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,MAX_PRICE,PRICE_SQFT,LISTING,AMENITIES
S,Residential Apartment,Gurgaon,Sector 84 Gurgaon,1,1,4,4,4,4,1,2,14,26,26300000,8766,R,"20,21,32,23,46,47,39,1,6,9,40,41,30,42,33,12,25,3,102"
S,Residential Apartment,Gurgaon,Sector 81 Gurgaon,1,1,4,4,3,4,1,1,7,29,36000000,21176,R,"17,5,20,21,10,44,23,46,47,29,19,1,6,9,30,41,43,33,12,25,26,3,101,102,103"
R,Residential Apartment,Gurgaon,Sector 66 Gurgaon,,0,3,3,2,1,4,1,7,17,85000,43,R,"32,17,2,5,20,21,44,23,45,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,31,33,12,3,101,102,103"
S,Residential Apartment,Gurgaon,Sector 112 Gurgaon,1,1,3,3,3,4,0,1,14,28,38500000,13740,R,"2,5,20,21,23,1,6,9,40,30,41,33,12,25,26,3,31,101,102"
R,Residential Apartment,Gurgaon,Sector 104 Gurgaon,,0,3,4,4,4,6,1,12,27,40000,17,R,"2,20,21,44,23,46,28,1,6,9,40,30,41,12,25,26,3,31"
S,Residential Apartment,Gurgaon,Sector 104 Gurgaon,1,1,3,4,4,4,2,1,4,27,19500000,8515,R,"17,2,20,21,23,1,6,9,40,30,41,12,26,3,31"
R,Residential Apartment,Gurgaon,Sector 104 Gurgaon,,0,4,4,4,4,8,1,7,27,45000,14,R,"20,21,44,23,1,6,9,40,30,41,43,33,12,25,26,3,31,103"
S,Residential Apartment,Gurgaon,Sector 74 Gurgaon,1,1,2,2,3,2,3,6,12,30,16200000,11571,R,"2,20,21,1,6,29,12,3"
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,,0,,0,0,0,,3,21700000,119889,R,23
S,Independent/Builder Floor,Gurgaon,Sector 102 Gurgaon,1,1,3,3,3,4,6,1,G,3,22000000,72607,R,"5,17,23,1,47,6,40,12,25,3"
